0,1,2,3,4,5
1.9695795,10.527939,0.7543498,0.6687929,0.26016915,0.35369098
9.35428,10.838971,0.26643825,0.40468228,0.2589882,0.42649227
4.8346496,13.380452,0.5479812,0.42260697,0.3493249,0.3609344
4.28547,7.9148617,0.47419202,0.7689128,0.13933408,0.44125047
7.624893,9.814544,0.41259322,0.4071322,0.23140985,0.42847127
6.897334,13.943438,0.3926092,0.37362087,0.36873126,0.37054586
11.557533,13.290668,0.26170373,0.36133283,0.48046282,0.35782212
2.8127623,8.118076,0.6756278,0.704746,0.18827477,0.39775687
7.670717,13.513796,0.37830406,0.39749283,0.20042145,0.45151818
5.1858435,7.790056,0.39801127,0.8706774,0.41251522,0.31547508
7.8711557,9.820555,0.37766236,0.5644596,0.25491866,0.41387376
7.3195,14.634929,0.34840465,0.16935712,0.24994168,0.43651968
8.828622,14.398413,0.33289334,0.1821121,0.23377639,0.4542812
5.861788,8.008798,0.4202317,0.8316934,0.37675175,0.33907878
7.0277843,9.670906,0.3660179,0.73837477,0.45663545,0.32717878
12.53002,15.848273,0.19330513,0.1320628,0.37365425,0.4251272
3.7134957,5.165224,0.51613355,0.929783,0.28136757,0.34702545
7.4008026,12.149077,0.44049865,0.5372023,0.41495994,0.35824364
3.5794086,12.3044195,0.61857027,0.54446536,0.43786255,0.3202356
10.829993,8.7893715,0.21065992,0.66173446,0.36678904,0.38628393
10.672221,14.327673,0.19750848,0.40549362,0.46285906,0.3700037
4.333076,7.53102,0.42857075,0.864161,0.23565495,0.3855914
2.8051739,4.678662,0.58860284,0.95415914,0.27281237,0.34100068
4.0438976,5.6400757,0.43908024,0.93418384,0.30766654,0.34439865
4.03185,8.429676,0.65566695,0.66412336,0.2658383,0.38269717
10.586838,9.170026,0.25030112,0.606601,0.29008964,0.42354316
4.6305156,6.665062,0.42251006,0.8628961,0.2927468,0.36335957
8.998054,13.141465,0.29430133,0.5565611,0.5898132,0.31990194
7.9035163,8.880057,0.3288526,0.6779473,0.19897574,0.44930345
7.2180266,7.8112273,0.24586722,0.7791567,0.28830817,0.39015067
12.1527195,16.65146,0.22231323,0.057314754,0.33176476,0.4537325
8.320251,10.156046,0.2875045,0.49695987,0.18444186,0.4652319
8.403355,12.530062,0.2913082,0.26363683,0.21003807,0.4595133
10.211215,13.131441,0.20828015,0.5236288,0.49549663,0.3624605
6.9910574,11.652106,0.32805088,0.6817671,0.43907997,0.35505542
13.592237,14.96896,0.12947458,0.15573323,0.35981452,0.44354942
3.5201728,5.378662,0.53940636,0.94456184,0.29479343,0.35594082
4.584998,6.153631,0.41652688,0.89429605,0.21473527,0.40408677
10.712467,15.899777,0.23537317,0.07015851,0.2746662,0.46194223
10.80283,14.654034,0.19527853,0.22087598,0.428977,0.39655718
3.7055147,5.3847466,0.5216544,0.9497336,0.3194691,0.35206354
8.361105,8.54169,0.26724038,0.8029278,0.3737743,0.3820244
3.353138,9.774132,0.5824294,0.8261759,0.41812918,0.33218443
3.5506039,7.176953,0.59593874,0.81317776,0.21271253,0.40505838
9.572923,13.872708,0.31054866,0.24524263,0.39075693,0.4061254
10.658527,15.853008,0.26659966,0.087297976,0.31179047,0.45247287
3.4229743,11.455774,0.6544026,0.42304134,0.22207725,0.41500035
4.146667,6.8075986,0.4536983,0.8783697,0.2334081,0.40006694
12.580027,16.102058,0.17386734,0.0564093,0.32831395,0.45646724
8.838106,13.019147,0.4063794,0.20852557,0.26294085,0.45258194
12.309763,16.399153,0.19165999,0.042984694,0.32751137,0.45689666
12.262842,16.359251,0.19006905,0.043706626,0.32823375,0.45613202
5.3523703,14.314156,0.45678166,0.20332843,0.24859872,0.43410635
6.6568155,10.963757,0.48165166,0.5460152,0.34644815,0.4010583
8.569018,14.411516,0.28522113,0.20912975,0.3276802,0.4278272
11.98173,16.159098,0.19012311,0.044792473,0.32439157,0.45464408
3.868494,6.166848,0.50852895,0.9207438,0.2877202,0.3796373
4.360082,11.691736,0.55288184,0.40568826,0.278711,0.40414223
3.729999,5.3149276,0.56010497,0.96077186,0.30755708,0.37534767
3.4795558,5.1139565,0.5734832,0.9665202,0.30349654,0.37426317
3.4158862,5.090544,0.58242726,0.96704507,0.30353358,0.3742429
3.9621282,6.1262703,0.53387743,0.94074464,0.2826959,0.39259136
3.1921844,6.048051,0.633793,0.9464233,0.3090037,0.37568808
9.619001,12.55775,0.26830137,0.33249587,0.33447972,0.43166864
4.9033194,5.6605396,0.43373317,0.938176,0.30144006,0.38754827
12.146517,16.058798,0.1789867,0.037815392,0.33423528,0.45350462
11.127643,12.16334,0.15478161,0.39148685,0.33969456,0.4363531
9.327789,13.80329,0.31497353,0.1816808,0.27967352,0.45948562
3.8177705,5.8870244,0.5563147,0.9599154,0.32071728,0.3835468
3.6362302,5.235458,0.576381,0.9688363,0.30887187,0.38325897
4.8078012,9.909707,0.5590989,0.6380038,0.3641556,0.38197818
11.531162,15.130741,0.17213133,0.07267606,0.3471592,0.44305512
5.982756,6.6201596,0.33335078,0.91402847,0.32614577,0.3942234
12.103639,15.842812,0.17161018,0.037309796,0.33853185,0.45280558
4.8253627,6.3632812,0.44148207,0.92658216,0.31467587,0.39188215
3.6665463,5.3411317,0.585359,0.9690722,0.30997038,0.3881399
3.7061942,5.326042,0.5843506,0.96990204,0.31185886,0.3886332
10.7589445,14.669614,0.18910012,0.10775274,0.383652,0.42845345
4.191489,5.693335,0.5505344,0.9635217,0.32053918,0.39296395
3.7786567,5.5478168,0.58236223,0.9649922,0.3058946,0.39366007
8.774309,13.808094,0.32237473,0.2749917,0.44375405,0.40793693
10.29271,12.015872,0.2802339,0.25741148,0.3060136,0.44997552
7.652849,13.600693,0.3679285,0.1707057,0.40120518,0.4027694
4.8818054,12.312143,0.50150114,0.44560748,0.39861634,0.38905072
5.702053,9.266454,0.42130822,0.842929,0.39863905,0.39400357
7.0760055,13.515216,0.37396967,0.23363367,0.37668854,0.41478348
9.768909,13.607036,0.33518362,0.21674296,0.42572278,0.421247
7.094617,13.577281,0.30713025,0.13089544,0.28202236,0.43895823
3.7745821,5.626169,0.6047641,0.9628358,0.29454923,0.40282232
6.91947,8.860792,0.3724973,0.45249006,0.19587782,0.45726985
10.646303,14.511089,0.204202,0.13261485,0.4184319,0.42884016
3.9379323,5.6818733,0.58693683,0.96962476,0.321096,0.3990379
5.3962135,7.1704726,0.36171308,0.8502157,0.23048699,0.43635648
3.9808898,5.587,0.5859227,0.9713644,0.31953618,0.4005563
6.337085,7.1720114,0.30332738,0.88337934,0.2912904,0.42198575
6.675314,10.730351,0.41536385,0.5672338,0.4042218,0.4013876
6.853793,6.6447473,0.33666787,0.85443646,0.3101592,0.4106591
11.882935,15.297936,0.16666627,0.032745242,0.347274,0.45533922
5.710175,6.9797893,0.43445972,0.9193574,0.36106157,0.40106767
11.829151,14.935502,0.16735691,0.045804977,0.36110312,0.45157883
4.370024,5.7605724,0.54650795,0.96503884,0.3113534,0.40823266
4.883185,10.226845,0.5223981,0.90143454,0.50581056,0.38388938
12.266514,12.164025,0.14285374,0.122979045,0.30240184,0.45789197
6.114522,12.732935,0.5262167,0.2428759,0.27698928,0.45519757
11.698969,14.917079,0.16632116,0.036753744,0.34356374,0.45705503
4.258171,6.339326,0.59462094,0.94820046,0.321551,0.40775707
11.082893,14.971901,0.2368584,0.057643384,0.43084425,0.4358291
10.485955,14.602065,0.22242907,0.057815164,0.37011567,0.44622722
6.9738317,9.70715,0.32267207,0.77834266,0.39422938,0.41588515
4.2275853,5.835289,0.5896662,0.97225404,0.32359704,0.4108046
9.151758,8.866249,0.35509086,0.6088492,0.32206327,0.4389618
11.647468,14.6736,0.16562715,0.033730805,0.34081993,0.4584625
11.557718,14.67514,0.16430765,0.036031455,0.34603238,0.45773903
11.90441,14.45504,0.1525734,0.038370997,0.34376392,0.45915738
9.957999,14.249181,0.22632131,0.051549554,0.32078573,0.45884722
4.607034,7.7772045,0.55408496,0.9226308,0.3307349,0.42215896
