norm i,sigmoid norm i,norm o,sigmoid norm o,norm f,sigmoid norm f,norm cell state,c1,c2,reg_loss1,reg_loss2,loss_
0.2454214096069336,0.561049222946167,0.004768832586705685,0.5011922121047974,0.002711015287786722,0.500677764415741,0.012819359079003334,-0.2483864426612854,-0.9892029762268066,tensor(97.5161),tensor(90.1080),0.002185200806707144
0.24541443586349487,0.5610475540161133,0.004509419202804565,0.5011273622512817,0.0023061600513756275,0.5005765557289124,0.012203776277601719,-0.24857085943222046,-0.989721953868866,tensor(97.5143),tensor(90.1028),0.0010578322689980268
0.24540628492832184,0.5610455274581909,0.00452493317425251,0.5011312365531921,0.0027081919834017754,0.5006770491600037,0.012865826487541199,-0.24841803312301636,-0.9891643524169922,tensor(97.5158),tensor(90.1084),0.002038277219980955
0.24539510905742645,0.5610427260398865,0.0037762834690511227,0.5009440779685974,0.002689167857170105,0.5006722807884216,0.013553127646446228,-0.24851888418197632,-0.9885870218276978,tensor(97.5148),tensor(90.1141),0.0024227057583630085
0.24538974463939667,0.5610414147377014,0.003630760358646512,0.5009077191352844,0.0021660050842911005,0.5005415081977844,0.01325497031211853,-0.24873340129852295,-0.9888383746147156,tensor(97.5127),tensor(90.1116),0.0016863256460055709
0.24537919461727142,0.5610388517379761,0.0030981162562966347,0.5007745027542114,0.002189866965636611,0.500547468662262,0.013940198346972466,-0.24879109859466553,-0.9882624745368958,tensor(97.5121),tensor(90.1174),0.0010817403672263026
0.24537277221679688,0.5610373020172119,0.0030211987905204296,0.5007553100585938,0.003341207280755043,0.5008352994918823,0.013609156012535095,-0.2483687400817871,-0.9885413646697998,tensor(97.5163),tensor(90.1146),0.0022719656117260456
0.24536623060703278,0.5610356330871582,0.0037421335000544786,0.5009354948997498,0.0029387129470705986,0.5007346868515015,0.011747192591428757,-0.24842947721481323,-0.9901079535484314,tensor(97.5157),tensor(90.0989),0.0016316440887749195
0.24536485970020294,0.5610353350639343,0.003649760503321886,0.5009124279022217,0.0032127201557159424,0.5008031725883484,0.011289823800325394,-0.24833828210830688,-0.9904932379722595,tensor(97.5166),tensor(90.0951),0.0015860783169046044
0.24534949660301208,0.5610315203666687,0.0034031111281365156,0.5008507370948792,0.0026863515377044678,0.5006715655326843,0.012277703732252121,-0.24856674671173096,-0.9896618723869324,tensor(97.5143),tensor(90.1034),0.0016712675569579005
0.24534110724925995,0.5610294938087463,0.003058783244341612,0.5007647275924683,0.0026180001441389322,0.5006544589996338,0.013284432701766491,-0.24863547086715698,-0.9888148903846741,tensor(97.5136),tensor(90.1118),0.0018113725818693638
0.24533489346504211,0.5610279440879822,0.003015149850398302,0.5007537603378296,0.0023947362788021564,0.500598669052124,0.013412009924650192,-0.24872463941574097,-0.9887075424194336,tensor(97.5127),tensor(90.1129),0.002049661474302411
0.24532584846019745,0.5610257387161255,0.0029994838405400515,0.5007498860359192,0.0024150365497916937,0.5006037354469299,0.013386324979364872,-0.24871903657913208,-0.9887292385101318,tensor(97.5128),tensor(90.1127),0.0011096897069364786
0.2453174740076065,0.5610235929489136,0.0029959389939904213,0.5007489919662476,0.0021879076957702637,0.5005469918251038,0.011233409866690636,-0.24880462884902954,-0.9905419945716858,tensor(97.5119),tensor(90.0946),0.001493487972766161
0.24530690908432007,0.561021089553833,0.0035085768904536963,0.5008771419525146,0.002182598691433668,0.5005456209182739,0.01273004338145256,-0.24874252080917358,-0.9892809987068176,tensor(97.5126),tensor(90.1072),0.0018435921519994736
0.2452981024980545,0.5610188841819763,0.0030190052930265665,0.5007547736167908,0.0029401821084320545,0.5007350444793701,0.012991845607757568,-0.24851948022842407,-0.9890614748001099,tensor(97.5148),tensor(90.1094),0.002336864359676838
0.24528901278972626,0.5610166192054749,0.0030360142700374126,0.5007590055465698,0.002616982674226165,0.5006542205810547,0.012820160016417503,-0.24863868951797485,-0.989206075668335,tensor(97.5136),tensor(90.1079),0.0015297096688300371
0.24528521299362183,0.5610157251358032,0.003110525431111455,0.5007776021957397,0.0022568851709365845,0.5005642175674438,0.013013048097491264,-0.24876445531845093,-0.9890435338020325,tensor(97.5124),tensor(90.1096),0.0015708518913015723
0.24527956545352936,0.5610142946243286,0.0035580105613917112,0.5008895397186279,0.002283632755279541,0.5005708932876587,0.01307408232241869,-0.24869835376739502,-0.988991379737854,tensor(97.5130),tensor(90.1101),0.002733961446210742
0.24527132511138916,0.5610122680664062,0.003091835416853428,0.5007729530334473,0.0029493782203644514,0.5007373094558716,0.011479093693196774,-0.24850696325302124,-0.9903351664543152,tensor(97.5149),tensor(90.0966),0.0015689752763137221
0.24526193737983704,0.56100994348526,0.0030802488327026367,0.5007700324058533,0.0024707827251404524,0.5006176829338074,0.012530824169516563,-0.2486879825592041,-0.9894497394561768,tensor(97.5131),tensor(90.1055),0.0016850654501467943
0.24525581300258636,0.5610084533691406,0.003034067340195179,0.5007585287094116,0.0032608441542834044,0.500815212726593,0.013199549168348312,-0.24839729070663452,-0.9888867735862732,tensor(97.5160),tensor(90.1111),0.0012330038007348776
0.24524593353271484,0.5610060095787048,0.0029937922954559326,0.5007484555244446,0.002963186474516988,0.5007407665252686,0.013280089944601059,-0.2485141158103943,-0.9888191223144531,tensor(97.5149),tensor(90.1118),0.0019210358150303364
0.24523162841796875,0.5610024929046631,0.0029899021610617638,0.5007475018501282,0.0027698278427124023,0.5006924271583557,0.013675527647137642,-0.24858713150024414,-0.9884862303733826,tensor(97.5141),tensor(90.1151),0.0017956036608666182
0.24522583186626434,0.5610010623931885,0.003006543731316924,0.5007516145706177,0.0026743521448224783,0.5006685853004456,0.013666016981005669,-0.24862080812454224,-0.9884942770004272,tensor(97.5138),tensor(90.1151),0.0018189215334132314
0.24521797895431519,0.5609991550445557,0.0030701584182679653,0.5007675290107727,0.0025704242289066315,0.5006425976753235,0.013123767450451851,-0.24865186214447021,-0.9889507293701172,tensor(97.5135),tensor(90.1105),0.002425503684207797
0.2452121078968048,0.5609976649284363,0.003037265734747052,0.5007593035697937,0.0022349804639816284,0.5005587339401245,0.013564886525273323,-0.24878180027008057,-0.9885793924331665,tensor(97.5122),tensor(90.1142),0.002293502911925316
0.24520444869995117,0.5609957575798035,0.0030269694980233908,0.5007567405700684,0.0022981788497418165,0.50057452917099,0.012338096275925636,-0.24875938892364502,-0.989612340927124,tensor(97.5124),tensor(90.1039),0.0020865185651928186
0.24519413709640503,0.5609932541847229,0.003077968955039978,0.5007694959640503,0.0022332966327667236,0.5005583167076111,0.012449613772332668,-0.2487773299217224,-0.989518404006958,tensor(97.5122),tensor(90.1048),0.0019021161133423448
0.24519307911396027,0.5609930157661438,0.003009780775755644,0.5007524490356445,0.0021686560939997435,0.500542163848877,0.013051656074821949,-0.24881011247634888,-0.9890116453170776,tensor(97.5119),tensor(90.1099),0.00118718680460006
0.24518103897571564,0.560990035533905,0.0032209008932113647,0.5008051991462708,0.002176515758037567,0.5005441308021545,0.014085114933550358,-0.24878078699111938,-0.9881412386894226,tensor(97.5122),tensor(90.1186),0.0020830987486988306
0.24517229199409485,0.5609878897666931,0.0030073896050453186,0.5007518529891968,0.002435593632981181,0.5006088614463806,0.0124813262373209,-0.24871033430099487,-0.9894919395446777,tensor(97.5129),tensor(90.1051),0.00148786383215338
0.24516575038433075,0.5609862804412842,0.0030557410791516304,0.5007639527320862,0.0023103272542357445,0.5005775690078735,0.012212801724672318,-0.24875128269195557,-0.989717960357666,tensor(97.5125),tensor(90.1028),0.0027827653102576733
0.24516074359416962,0.5609850287437439,0.0029916767962276936,0.5007479190826416,0.002194076543673873,0.5005484819412231,0.013427539728581905,-0.24880290031433105,-0.9886953830718994,tensor(97.5120),tensor(90.1131),0.002437856514006853
0.24515336751937866,0.5609832406044006,0.0029864851385354996,0.5007466077804565,0.002164909616112709,0.5005412101745605,0.012756817042827606,-0.24881446361541748,-0.9892601370811462,tensor(97.5119),tensor(90.1074),0.0022414640989154577
0.24514389038085938,0.5609808564186096,0.0029847435653209686,0.5007461905479431,0.002164341975003481,0.500541090965271,0.011735299602150917,-0.24881482124328613,-0.9901201725006104,tensor(97.5119),tensor(90.0988),0.001968204975128174
0.24513274431228638,0.5609781742095947,0.003075728891417384,0.5007688999176025,0.0021461648866534233,0.5005365610122681,0.012921206653118134,-0.2488102912902832,-0.989121675491333,tensor(97.5119),tensor(90.1088),0.0018887153128162026
0.2451198399066925,0.5609749555587769,0.0031546149402856827,0.5007886290550232,0.002242445945739746,0.5005606412887573,0.011756092309951782,-0.2487642765045166,-0.9901024699211121,tensor(97.5124),tensor(90.0990),0.0018084626644849777
0.24511058628559113,0.5609726905822754,0.0029737972654402256,0.5007434487342834,0.0025221630930900574,0.5006304979324341,0.013270462863147259,-0.24868208169937134,-0.9888279438018799,tensor(97.5132),tensor(90.1117),0.0017393603920936584
0.24510571360588074,0.5609714388847351,0.002970041474327445,0.500742495059967,0.0023650527000427246,0.5005912780761719,0.01327029149979353,-0.24874144792556763,-0.9888280630111694,tensor(97.5126),tensor(90.1117),0.002285484690219164
0.24509784579277039,0.5609695315361023,0.0030737940687686205,0.5007684230804443,0.0031598072964698076,0.5007899403572083,0.012163706123828888,-0.2484302520751953,-0.9897595643997192,tensor(97.5157),tensor(90.1024),0.002233024686574936
0.2450873851776123,0.560966968536377,0.002966278465464711,0.5007415413856506,0.002684068400412798,0.5006710290908813,0.013113776221871376,-0.24862223863601685,-0.9889599680900574,tensor(97.5138),tensor(90.1104),0.002030664589256048
0.245076984167099,0.5609644055366516,0.00293668988160789,0.5007342100143433,0.0022349804639816284,0.5005587339401245,0.012710731476545334,-0.24879437685012817,-0.9892993569374084,tensor(97.5121),tensor(90.1070),0.002054431475698948
0.24506987631320953,0.5609626770019531,0.0029188543558120728,0.5007297396659851,0.0023795822635293007,0.5005949139595032,0.011241878382861614,-0.24874228239059448,-0.9905359745025635,tensor(97.5126),tensor(90.0946),0.0023725370410829782
0.2450639307498932,0.5609611868858337,0.0029778049793094397,0.5007444620132446,0.0025723944418132305,0.5006430745124817,0.012577715329825878,-0.24866265058517456,-0.9894113540649414,tensor(97.5134),tensor(90.1059),0.0015191198326647282
0.24505652487277985,0.5609593987464905,0.0034700960386544466,0.5008675456047058,0.003012074390426278,0.5007529854774475,0.013677074573934078,-0.2484360933303833,-0.9884849190711975,tensor(97.5156),tensor(90.1151),0.0013826731592416763
