norm i,sigmoid norm i,norm o,sigmoid norm o,norm f,sigmoid norm f,norm cell state,c1,c2
1.0647225379943848,0.7435920238494873,0.8425056338310242,0.6989926695823669,0.37822225689888,0.593444287776947,0.7406598329544067,0.008257508277893066,-0.06428194046020508
1.0648019313812256,0.7436071038246155,0.8424178957939148,0.6989742517471313,0.3778931200504303,0.5933648943901062,0.7409083843231201,0.008111715316772461,-0.06395906209945679
1.0648815631866455,0.7436222434043884,0.8423303365707397,0.698955774307251,0.3776417374610901,0.5933041572570801,0.7411574721336365,0.007997512817382812,-0.06363546848297119
1.064961314201355,0.7436375021934509,0.8422419428825378,0.698937177658081,0.3774113953113556,0.5932486057281494,0.7414067983627319,0.007892131805419922,-0.06331151723861694
1.0650410652160645,0.7436527013778687,0.842153787612915,0.6989186406135559,0.37718600034713745,0.5931942462921143,0.7416563630104065,0.0077887773513793945,-0.0629873275756836
1.0651209354400635,0.7436679601669312,0.842065691947937,0.6989001035690308,0.3769335448741913,0.5931333303451538,0.7419061660766602,0.007674217224121094,-0.06266272068023682
1.065200924873352,0.7436831593513489,0.8419775366783142,0.6988815665245056,0.3767724335193634,0.5930944681167603,0.7421560287475586,0.00759732723236084,-0.062338054180145264
1.0652809143066406,0.7436984777450562,0.8418888449668884,0.6988629102706909,0.3766929507255554,0.5930752158164978,0.7424060106277466,0.007553458213806152,-0.062013208866119385
1.0653609037399292,0.7437137365341187,0.8417997360229492,0.6988441348075867,0.37662240862846375,0.5930582284927368,0.742655873298645,0.007513523101806641,-0.06168866157531738
1.0654408931732178,0.7437289357185364,0.8417096138000488,0.6988251805305481,0.3763944208621979,0.5930032134056091,0.7429057359695435,0.007408738136291504,-0.06136429309844971
1.0655207633972168,0.7437441945075989,0.8416197896003723,0.6988062858581543,0.3762258291244507,0.5929625034332275,0.7431553602218628,0.007328391075134277,-0.06104004383087158
1.0656006336212158,0.7437593936920166,0.8415291905403137,0.6987871527671814,0.376139372587204,0.5929415822029114,0.743404746055603,0.00728154182434082,-0.06071639060974121
1.0656803846359253,0.7437745928764343,0.8414390087127686,0.6987681984901428,0.37604767084121704,0.5929195284843445,0.7436538338661194,0.007232785224914551,-0.06039297580718994
1.0657601356506348,0.7437897324562073,0.8413481116294861,0.6987490653991699,0.3756021559238434,0.5928119421005249,0.7439025640487671,0.007038712501525879,-0.06007009744644165
1.0658397674560547,0.743804931640625,0.8412558436393738,0.6987295746803284,0.3755066990852356,0.5927889347076416,0.7441508769989014,0.006988048553466797,-0.05974799394607544
