gamma,thd,NRMSE,r2,c1,c2
89.0,56.0,0.3920956522086871,0.8479317122045925,-0.2491672039031982,-0.9979425072669984
44.0,56.0,0.3658293996326634,0.8772073082870854,-0.2492084503173828,-0.9974929094314576
5.0,56.0,0.3540560365584956,0.8851374426761182,-0.2492223381996154,-0.9974471926689148
0.0,78.0,0.2899925710316898,0.9226827538699968,0.0391416549682617,-0.0581850409507751
56.0,78.0,0.4085303739228221,0.8441862730927404,-0.2490363717079162,-0.9973487257957458
11.0,78.0,0.3329121311387606,0.8975983960375492,-0.2490232586860656,-0.9969284534454346
67.0,78.0,0.3701281923788369,0.8630513710999905,-0.2491190433502197,-0.997788667678833
22.0,78.0,0.4161459999661616,0.8161858650187077,-0.2491779923439026,-0.9985036253929138
78.0,78.0,0.4189735530130549,0.8188214541086812,-0.2491236329078674,-0.9973440766334534
33.0,78.0,0.3512814431831757,0.8820720163011341,-0.2492434978485107,-0.9980031251907348
89.0,78.0,0.3576810958616251,0.8809646690670009,-0.2492967844009399,-0.9976133108139038
44.0,78.0,0.4455863252473999,0.7951477772503261,-0.2489182353019714,-0.9980881810188292
5.0,78.0,0.3983818556541619,0.8483400832921061,-0.249325156211853,-0.9977498054504396
0.0,2.0,0.2960847569810985,0.9111741924493032,0.0260987281799316,-0.0771691799163818
56.0,2.0,0.3501159288497332,0.8817460480295649,-0.2489531636238098,-0.997379183769226
11.0,2.0,0.4758000077625801,0.7546571957296786,-0.2490072846412658,-0.9982014894485474
67.0,2.0,0.3829148829932031,0.8593232716299678,-0.248911440372467,-0.9980183839797974
22.0,2.0,0.3252763299944247,0.900763255357406,-0.2490612864494323,-0.998100221157074
78.0,2.0,0.3741627974224403,0.8643115156067724,-0.2490869164466858,-0.9980679750442504
33.0,2.0,0.3559600360642955,0.8726954171986242,-0.2491378188133239,-0.9976379871368408
89.0,2.0,0.3652289995249752,0.8707646972159071,-0.2492771744728088,-0.9980002045631408
44.0,2.0,0.4044738224513146,0.8550192261907981,-0.2493044734001159,-0.9969998598098756
5.0,2.0,0.3680154428855455,0.8676536951968834,-0.24924010038375854,-0.9969791173934937
