gamma,thd,NRMSE,r2,c1,c2
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.285654558953392,0.9112902520632328,0.0441178083419799,-0.0554428100585937
56.0,0.0,0.2630039182932887,0.9339702992756168,-0.0393250584602355,-0.0857571959495544
11.0,0.0,0.3085770363378923,0.9053009962662468,-0.0168186426162719,-0.1142571568489074
67.0,0.0,0.2958011361952352,0.9215253661920112,-0.0160489082336425,-0.0739421248435974
22.0,0.0,0.2855390852725964,0.9193485311541616,-0.0077512860298156,-0.0997513532638549
78.0,0.0,0.2773524494233335,0.9171789681693568,-0.0250203013420104,-0.0949540734291076
33.0,0.0,0.3154604037733823,0.8973587291837195,-0.005580186843872,-0.0681996345520019
89.0,0.0,0.3117723998033123,0.9062123375508816,-0.0298357009887695,-0.1131551861763
44.0,0.0,0.2959238622322849,0.9149120392377182,-0.0098922848701477,-0.04970383644104
5.0,0.0,0.2910756688379921,0.9210448775456682,-0.0125465989112854,-0.0548397302627563
0.0,22.0,0.3218265787245831,0.9150235364674733,0.0094016790390014,0.1029647588729858
56.0,22.0,0.2971058039455395,0.9161970588804812,-0.2224762439727783,-0.2985559701919555
11.0,22.0,0.2968297030658908,0.9162726866141524,-0.2226796746253967,-0.2518090605735779
67.0,22.0,0.3389170296723213,0.8891890146364771,-0.2225419878959655,-0.2912092804908752
22.0,22.0,0.3084914230224553,0.9103270185529596,-0.2222549319267273,-0.2842841148376465
78.0,22.0,0.3594940873533539,0.8793287884861876,-0.2227678298950195,-0.2764764428138733
33.0,22.0,0.4180215101139747,0.8363051542349925,-0.2223698496818542,-0.2595404982566833
89.0,22.0,0.3674458565396934,0.8711616295254536,-0.2223126292228698,-0.2442955374717712
44.0,22.0,0.2989391309422903,0.9133448322023346,-0.2222182750701904,-0.3301165103912353
5.0,22.0,0.3192772951067363,0.9034916937848044,-0.2220258116722107,-0.2924972176551819
0.0,44.0,0.2754349992258093,0.9239353353375672,0.0316206216812133,-0.0944629907608032
56.0,44.0,0.3369730477334361,0.891158585743494,-0.249011754989624,-0.501675009727478
11.0,44.0,0.3403566097133158,0.8861758138045117,-0.2491058707237243,-0.4875071048736572
67.0,44.0,0.3078909950715903,0.9066781968261828,-0.2490005493164062,-0.4672679305076599
22.0,44.0,0.4824863140554891,0.763165610507949,-0.2491491436958313,-0.5083788633346558
78.0,44.0,0.3904570278022051,0.8638996216264186,-0.2490934133529663,-0.5076241493225098
33.0,44.0,0.4205663006710565,0.823193984913393,-0.2491881847381591,-0.4867989420890808
89.0,44.0,0.348756879540376,0.8853028619622542,-0.2492875456809997,-0.4788915514945984
