0,1,2,3,4,5
5.2198973,8.268195,0.6026532,0.6770119,0.5519251,0.48755637
6.99564,0.74100256,0.19381964,0.59433264,0.778311,0.6708407
6.3442116,19.047142,0.9261872,0.6813803,0.20060837,0.48239353
6.854317,18.04049,0.9100922,0.6242371,0.19096872,0.61682326
7.935667,3.294524,0.39485198,0.547941,0.61087704,0.62380034
6.2305784,19.176712,0.93170696,0.68906456,0.19170856,0.4795725
7.500851,7.560153,0.6382523,0.68193316,0.5030194,0.7999067
6.1995506,19.168274,0.9306276,0.68829334,0.1902431,0.4786259
6.821067,0.62357545,0.1904934,0.5884412,0.7767997,0.68888444
6.796342,0.6128645,0.18966153,0.58777136,0.77720624,0.6888076
3.8959467,16.652607,0.86752874,0.7873398,0.33135092,0.55068856
6.7767153,0.6112641,0.19055945,0.58587325,0.7763717,0.6884262
6.585715,18.421764,0.8913698,0.6955726,0.25016782,0.5354207
6.75078,0.6107807,0.19145674,0.5839857,0.7753778,0.6877895
6.127975,19.163712,0.9274316,0.68903065,0.18877468,0.47187886
6.018152,18.969341,0.912214,0.6869246,0.21826553,0.43379587
4.7838616,6.102059,0.46205473,0.7921851,0.7641615,0.5148841
8.041457,18.083834,0.8649648,0.69856256,0.3103045,0.63067245
6.7122593,0.61546445,0.19443661,0.57987005,0.7733878,0.68805003
6.0708213,19.15393,0.9252578,0.68878484,0.18681839,0.46816993
6.7062435,0.61166286,0.19413075,0.5776089,0.7735779,0.68696296
6.0483456,19.150284,0.92437875,0.6886441,0.18607992,0.4668021
6.6903877,0.6146413,0.19489864,0.5764755,0.7735764,0.68577206
6.0307884,19.145473,0.9233624,0.68840456,0.18560427,0.46561542
6.015787,19.145372,0.9230027,0.688375,0.18507507,0.46486926
5.9999504,19.143599,0.92252177,0.6882684,0.18458399,0.46409488
5.980547,19.139812,0.92193866,0.68822104,0.18415129,0.46348354
6.692121,0.61385155,0.19712609,0.57166225,0.7727331,0.6870864
4.713287,8.2424135,0.6112575,0.57114565,0.38055664,0.36157858
5.9278984,19.136522,0.92044705,0.6877488,0.1823656,0.46086335
6.69564,0.6147826,0.19879222,0.5692848,0.7726423,0.6874327
5.975232,19.090769,0.9167106,0.68805933,0.1868453,0.468121
7.205975,18.03516,0.862298,0.6434413,0.23585877,0.52645355
5.877791,19.119286,0.91723245,0.6865407,0.18156087,0.45752499
6.7044973,0.6161344,0.2013998,0.56629944,0.7726747,0.6879386
5.828502,19.12603,0.9168187,0.6864229,0.1792269,0.45689535
6.7092695,0.6169236,0.20283204,0.5648922,0.7727089,0.68820065
6.848902,0.64683676,0.20610487,0.5599199,0.7687939,0.6873434
5.786047,19.124214,0.9149497,0.68595237,0.17813343,0.45511788
6.961776,4.293192,0.40766138,0.67504585,0.6037074,0.6450203
5.4866433,1.9137895,0.2108745,0.70591426,0.87533605,0.37817538
5.754556,19.121502,0.9129562,0.6851424,0.17727038,0.45383835
5.743039,19.120638,0.9122796,0.6848412,0.17694366,0.45342162
5.7286863,19.119648,0.91161656,0.68450886,0.17648706,0.4530737
5.7113256,19.119026,0.9109514,0.68422085,0.17599404,0.45255607
6.694998,0.6194186,0.2095955,0.55942553,0.7716466,0.68845946
6.5652537,0.65597,0.2173295,0.5586633,0.7633469,0.67892784
6.694343,0.61883867,0.21093142,0.55822724,0.77136505,0.6888206
6.6863766,0.6188917,0.21161759,0.5577135,0.7709793,0.68881285
6.674611,0.6188977,0.21229166,0.55721474,0.7704445,0.68877184
7.897713,17.669823,0.8268499,0.68388474,0.31774068,0.6443345
5.597681,19.061764,0.899132,0.68245006,0.19428477,0.42222163
6.5279875,0.6531769,0.22112858,0.5564767,0.7617444,0.68229115
12.756625,4.01245,0.40485007,0.403603,0.4229212,0.7662345
8.777748,5.221429,0.2856127,0.61463636,0.8017419,0.34777218
6.605144,0.6191015,0.21615845,0.5545299,0.7673416,0.68845165
6.5148726,0.6479335,0.22294265,0.55385196,0.7582375,0.6846031
3.4530795,7.5231695,0.72798365,0.6633327,0.39969128,0.7101591
6.5548825,0.618605,0.21799338,0.5533745,0.76511836,0.68821967
5.660198,19.107092,0.9009001,0.67743695,0.17499089,0.44996154
5.654522,19.11267,0.9005439,0.67749035,0.17512512,0.4496059
5.6520195,19.112602,0.89988637,0.67699146,0.17513311,0.44948882
6.877125,1.4423203,0.48679325,0.5652206,0.34258208,0.92467034
5.642247,19.112255,0.8985596,0.67594236,0.17497179,0.44928613
5.6319213,19.0607,0.8922367,0.6736717,0.18407398,0.43262106
6.490002,0.6200135,0.22314453,0.5509782,0.7598858,0.6894106
4.8796535,5.6675634,0.5799782,0.6940698,0.65082824,0.7469686
4.0399704,5.2411747,0.61581725,0.58929044,0.28713262,0.6157538
6.4873695,0.62232614,0.22428524,0.54966813,0.7603054,0.68671554
5.1689234,18.848227,0.85601234,0.68091655,0.2969278,0.31521928
5.602251,19.111351,0.89380085,0.67201567,0.17421255,0.4486555
6.717603,16.964346,0.8901184,0.5399051,0.08640304,0.77068526
7.6366386,4.057379,0.63265944,0.5755508,0.31068218,0.93071985
9.028273,15.058441,0.8032161,0.57594454,0.212991,0.82881653
6.430106,0.6174332,0.22812998,0.54891914,0.7580266,0.68776166
6.4247775,0.61798394,0.2289465,0.5486882,0.75728387,0.6879984
5.5600595,19.109186,0.8896149,0.66824335,0.17312354,0.44866297
6.407848,0.617677,0.23003474,0.5483925,0.7568119,0.6875565
3.8254905,11.879505,0.72576034,0.75062144,0.46987748,0.70176035
5.543274,19.10918,0.8874249,0.6665673,0.17328337,0.4479411
5.5391073,19.109898,0.8867739,0.66588515,0.17295504,0.4480706
